artigoEmPeriodico	Braulio Silva Barros	2016	http://dx.doi.org/10.1016/j.synthmet.2016.07.003	Sonoelectrochemical synthesis of metal-organic frameworks	Synthetic Metals	DA SILVA, GILVALDO G. ; SILVA, CECÍLIA S. ; RIBEIRO, ROGÉRIO T. ; RONCONI, CÉLIA M. ; BARROS, BRÁULIO S. ; NEVES, JORGE L. ; JÚNIOR, SEVERINO ALVES	A2	SYNTHETIC METALS
artigoEmPeriodico	Braulio Silva Barros	2016	http://dx.doi.org/10.1016/j.ceramint.2016.07.119	Nickel-based catalyst derived from NiO-Ce0.75Zr0.25O2 nanocrystalline composite: Effect of the synthetic route on the partial oxidation of methane	Ceramics International	DA SILVEIRA, V.R. ; Melo, D.M.A. ; Barros, B.S. ; RUIZ, J.A.C. ; ALCAZAR ROJAS, LEOPOLDO O.	A1	CERAMICS INTERNATIONAL
resumoExpandidoEmCongresso	Braulio Silva Barros	2017	Luminescence processes in lower-rim substituted calix[4]arene-based hubrid materials	18th International Conference on Luminescence - ICL, 2017, João Pessoa. Program Book of ICL 2017	NASCIMENTO, J. F. S. ; LINS, I. M. S. ; OLIVEIRA, M. A. ; Barros, B S ; Kulesza, J.		
resumoExpandidoEmCongresso	Braulio Silva Barros	2017	Gd-MOFs doped with Eu3+: synthesis, structure and photophysical properties	18th International Conference on Luminescence, 2017, João Pessoa. Program Bookf of ICL 2017	NASCIMENTO, J. F. S. ; OLIVEIRA, J. B. L. ; KULESZA, JOANNA ; ALVES JÚNIOR, Severino ; Barros, B S		
resumoExpandidoEmCongresso	Braulio Silva Barros	2017	Síntese e caracterização de polímero de coordenação à base de calix[4]areno modificado e sua utilização na adsorção de BTEX	II Mostra de Engenharia de Materiais da UFPE, 2017, Recife. Anais da II Mostra de Engenharia de Materiais da UFPE. Recife	ALAIDE, M. ; Kulesza, J. ; FROS, A. ; BARROS, B.S.		
resumoExpandidoEmCongresso	Braulio Silva Barros	2017	Redes metalorgânicas à base de titânio (Ti-MOFs): um desafio inovador	II Mostra de Engenharia de Materiais da UFPE, 2017, Recife. Anais da II Mostra de Engenharia de Materiais da UFPE,. Recife	MOREIRA, C. V. C. ; BARROS, B.S.		
resumoExpandidoEmCongresso	Braulio Silva Barros	2017	Síntese eletroquímica da MOF Cu-BDC e seu potencial como carreador de fármaco	II Mostra de Engenharia de Materiais da UFPE,, 2017, Recife. Anais da II Mostra de Engenharia de Materiais da UFPE,. Recife	FONSECA, J. D. S. ; Kulesza, J. ; BARROS, B.S. ; MONTEIRO, A. F. F.		
artigoEmPeriodico	Carlos Augusto do Nascimento Oliveira	2019	http://dx.doi.org/10.1016/j.jmapro.2019.05.040	Analysis of the surface roughness and cutting tool wear using a vapor compression assisted cooling system to cool the cutting fluid in turning operation	Journal of Manufacturing Processes	ARAÚJO, ROGÉRIO PONTES ; ROLIM, TIAGO L ; OLIVEIRA, CARLOS A ; MOURA, ALEX E ; SILVA, JOSÉ CARLOS A	B1	JOURNAL OF MANUFACTURING PROCESSES
artigoEmPeriodico	Carlos Augusto do Nascimento Oliveira	2018	http://dx.doi.org/10.1016/j.prostr.2018.12.019	Simulated running ductile fracture experiment using rubber tube	Procedia Structural Integrity	FURUTA, YASUYUKI ; NISHIZONO, YUKI ; AIHARA, SHUJI ; YANAGIMOTO, FUMINORI ; KAWABATA, TOMOYA ; SHIBANUMA, KAZUKI ; Oliveira, Carlos A. ; SHINOHARA, ARMANDO H.	Qualis nao identificado	Procedia Structural Integrity
artigoEmPeriodico	Carlos Augusto do Nascimento Oliveira	2017		Análise térmica de soldagem obtida numericamente na liga de alumínio AA 5056 pelo processo GMAW	REVISTA DE CIÊNCIA, TECNOLOGIA E HUMANIDADES (CIENTEC)	GUIMARAES, P. B. ; OLIVEIRA, C. A. N. ; OLIVEIRA NETO, J. J. C ; ANTONINO, T. S. ; L JUNIOR, J. D. ; FERREIRA, R. A. S. ou SANGUINETTI FERREIRA, R. A.	B5	
